Date,BANK,GOLD,NIFTY,SILVER
2012-05-01,95.1957015991211,28.290679931640625,49.87099838256836,
2012-06-01,104.81784057617188,28.310039520263672,53.39899826049805,
2012-07-01,105.77549743652344,28.893430709838867,52.797000885009766,
2012-08-01,101.72836303710938,29.475509643554688,52.8129997253418,
2012-09-01,116.59361267089844,29.953840255737305,57.275001525878906,
2012-10-01,114.62586212158205,29.648149490356445,56.97080993652344,
2012-11-01,123.61659240722656,30.029470443725582,59.6297492980957,
2012-12-01,126.7602767944336,29.03985977172852,59.88885116577149,
2013-01-01,129.0810089111328,28.998859405517575,61.1870002746582,
2013-02-01,116.63678741455078,27.83016967773437,57.73102951049805,
2013-03-01,113.61576080322266,28.235200881958008,56.9414291381836,
2013-04-01,125.53717041015624,25.84966087341309,59.39617919921875,
2013-05-01,125.56564331054688,25.694469451904297,60.214481353759766,
2013-06-01,116.2020034790039,23.843000411987305,58.96799850463867,
2013-07-01,106.34200286865234,26.74049949645996,58.124000549316406,
2013-08-01,91.53199768066406,29.11899948120117,55.08000183105469,
2013-09-01,98.24400329589844,28.42300033569336,58.2239990234375,
2013-10-01,115.71099853515624,28.65800094604492,63.59199905395508,
2013-11-01,112.85199737548828,28.76000022888184,62.41999816894531,
2013-12-01,115.0999984741211,27.174999237060547,63.75299835205078,
2014-01-01,103.95600128173828,27.655000686645508,61.7239990234375,
2014-02-01,108.7020034790039,28.502500534057617,63.44100189208984,
2014-03-01,126.78101348876952,27.07250022888184,67.0,
2014-04-01,130.32000732421875,27.85849952697754,67.27899932861328,
2014-05-01,148.18600463867188,24.92099952697754,72.375,
2014-06-01,161.76600646972656,26.0674991607666,76.46700286865234,
2014-07-01,153.98599243164062,25.691499710083008,78.01399993896484,
2014-08-01,158.92599487304688,25.707500457763672,80.61199951171875,
2014-09-01,155.31399536132812,24.697999954223636,80.71800231933594,
2014-10-01,172.49099731445312,24.270000457763672,84.11499786376953,
2014-11-01,187.0189971923828,24.429000854492188,86.93099975585938,
2014-12-01,189.8459930419922,24.64150047302246,83.87699890136719,
2015-01-01,200.9250030517578,25.788000106811523,89.48200225830078,
